iter	RMSE
184	22523.52758
185	22486.37393
186	22452.5105
187	22431.94334
188	22397.95294
189	22391.38571
190	22343.44145
191	22314.5254
192	22297.10094
193	22268.21986
194	22266.24905
195	22239.27715
196	22194.85148
197	22178.34767
198	22174.76596
199	22160.91722
200	22127.50537
201	22116.52728
202	22110.54823
203	22097.38736
204	22091.23146
205	22087.14175
206	22063.39106
207	22047.65729
208	22039.63066
209	22034.53128
210	22020.6198
211	22018.07404
212	21985.89757
213	21950.30684
214	21928.44171
215	21925.72299
216	21893.56726
217	21885.00087
218	21869.61222
219	21857.69214
220	21846.09896
221	21828.51689
222	21794.57236
223	21790.39008
224	21787.81427
225	21783.77194
226	21770.98562
227	21768.73313
228	21721.7928
229	21709.28586
230	21686.36014
231	21656.01436
232	21613.86427
233	21602.98172
234	21568.56195
235	21544.64576
236	21496.34855
237	21468.22566
238	21430.82056
239	21385.95404
240	21368.4663
241	21340.10748
242	21323.91648
243	21288.92553
244	21272.83103
245	21256.81122
246	21234.92087
247	21203.79783
248	21184.49231
249	21165.8402
250	21139.88664
251	21114.01579
252	21082.24958
253	21042.81457
254	21032.70532
255	20997.00572
256	20970.98817
257	20950.16218
258	20914.20175
259	20902.21874
260	20882.95474
261	20849.0778
262	20812.61434
263	20796.21871
264	20763.43536
265	20735.12393
266	20707.40289
267	20682.10058
268	20659.09597
269	20619.81414
270	20610.57245
271	20581.04705
272	20561.79974
273	20550.39491
274	20543.11174
275	20499.9063
276	20492.67681
277	20483.95954
278	20471.40091
279	20463.05479
280	20449.75176
281	20446.65601
282	20436.47165
283	20426.82732
284	20419.4998
285	20392.19996
286	20389.12831
287	20371.20379
288	20340.09111
289	20331.01236
290	20329.1922
291	20302.10111
292	20261.47622
293	20239.57336
294	20235.5953
295	20211.21699
296	20208.625
297	20180.01412
298	20177.0821
299	20144.32875
300	20127.99043
301	20101.66693
302	20095.72399
303	20056.44445
304	20022.59179
305	19992.75402
306	19953.49424
307	19940.50537
308	19936.85742
309	19929.76928
310	19915.38736
311	19877.75268
312	19870.63968
313	19865.72912
314	19858.81053
315	19824.49343
316	19822.95413
317	19815.60338
318	19808.41653
319	19780.09445
320	19750.49389
321	19741.89354
322	19701.12077
323	19671.45385
324	19665.00689
325	19658.29498
326	19654.49158
327	19649.33806
328	19621.44776
329	19587.06974
330	19551.3757
331	19546.79091
332	19540.5099
333	19519.80372
334	19484.03269
335	19449.25117
336	19431.2423
337	19415.63759
338	19394.05242
339	19361.79363
340	19333.54751
341	19323.35917
342	19318.5147
343	19303.35514
344	19272.6102
345	19263.15053
346	19236.01346
347	19202.19271
348	19198.89703
349	19175.43141
350	19144.89988
351	19141.7005
352	19117.1344
353	19084.7455
354	19052.95503
355	19033.50139
356	19029.26629
357	19019.59154
358	18993.34385
359	18968.64769
360	18965.18886
361	18935.31814
362	18914.81248
363	18905.58309
364	18880.55806
365	18861.91931
366	18858.96635
367	18853.71707
368	18848.59074
369	18841.55365
370	18840.36684
371	18826.49493
372	18802.28017
373	18779.43529
374	18776.67977
375	18742.32217
376	18741.21786
377	18732.34757
378	18717.53532
379	18702.20913
380	18698.64251
381	18679.46753
382	18659.47689
383	18634.48154
384	18607.05152
385	18577.59507
386	18562.48585
387	18557.73343
388	18553.04533
389	18527.04387
390	18502.82443
391	18500.30213
392	18494.20002
393	18481.74149
394	18477.88817
395	18469.9862
396	18465.53723
397	18464.52894
398	18460.19052
399	18428.56166
400	18405.75748
401	18383.50907
402	18381.63855
403	18375.07635
404	18367.05033
405	18352.15642
406	18344.78639
407	18343.01067
408	18316.6014
409	18299.14049
410	18290.11714
411	18289.07391
412	18251.50686
413	18229.75425
414	18213.14913
415	18211.43079
416	18188.78096
417	18184.77439
418	18155.20026
419	18141.46587
420	18140.56065
421	18118.41027
422	18116.35699
423	18089.57333
424	18076.43611
425	18072.57899
426	18055.46438
427	18049.07733
428	18048.26647
429	18046.69653
430	18022.73066
431	18017.07415
432	17995.46452
433	17977.37366
434	17975.84182
435	17958.84471
436	17934.75428
437	17915.53222
438	17906.28088
439	17880.87734
440	17859.74391
441	17857.02188
442	17832.41536
443	17831.58293
444	17806.61116
445	17778.24804
446	17768.33243
447	17742.66905
448	17723.55786
449	17705.89912
450	17672.09001
451	17669.08895
452	17656.52025
453	17638.47869
454	17637.04406
455	17625.96511
456	17623.01353
457	17602.63452
458	17587.29455
459	17568.51817
460	17545.63782
461	17525.09161
462	17498.83703
463	17481.86408
464	17476.54483
465	17471.98106
466	17471.2281
467	17458.85052
468	17435.57756
469	17411.04319
470	17401.83551
471	17382.23882
472	17373.65356
473	17349.94873
474	17348.9176
475	17322.41843
476	17319.23441
477	17306.12524
478	17305.13769
479	17294.0453
480	17265.13116
481	17243.46941
482	17225.60807
483	17219.0588
484	17218.09027
485	17203.6518
486	17180.98085
487	17168.989
488	17168.22753
489	17146.2154
490	17132.80559
491	17119.41679
492	17112.90046
493	17092.08553
494	17070.13694
495	17069.39482
496	17044.84039
497	17024.79521
498	17014.22503
499	17013.34097
500	17001.66459
501	16997.74388
502	16971.90891
503	16960.73603
504	16957.52412
505	16948.60829
506	16947.18074
507	16942.15843
508	16928.91138
509	16911.15148
510	16891.37097
511	16874.01718
512	16864.47928
513	16844.00168
514	16833.85303
515	16827.38794
516	16807.12893
517	16790.5886
518	16771.13896
519	16747.97766
520	16733.10656
521	16712.01753
522	16707.79768
523	16687.22064
524	16675.29402
525	16661.65277
526	16644.66003
527	16628.92912
528	16615.77747
529	16607.85576
530	16593.63125
531	16587.55882
532	16573.57126
533	16556.84919
534	16555.99049
535	16542.72371
536	16533.80082
537	16533.08619
538	16523.71316
539	16511.90897
540	16498.08866
541	16478.30126
542	16474.37861
543	16464.43272
544	16447.05849
545	16434.80948
546	16432.1662
547	16423.59115
548	16407.20782
549	16392.68672
550	16380.17187
551	16373.13232
552	16354.10616
553	16343.34021
554	16332.84421
555	16309.87654
556	16292.42056
557	16289.35028
558	16288.4675
559	16286.04941
560	16283.92314
561	16267.95062
562	16249.24903
563	16237.5072
564	16224.84577
565	16215.51797
566	16214.693
567	16210.06828
568	16209.23078
569	16201.7579
570	16201.13389
571	16186.44822
572	16183.97062
573	16170.25295
574	16151.54105
575	16141.45877
576	16133.54617
577	16115.89836
578	16101.6104
579	16094.20898
580	16083.25552
581	16070.93695
582	16068.67611
583	16054.53547
584	16039.58804
585	16029.39591
586	16013.74153
587	16013.10873
588	15998.09124
589	15978.49369
590	15960.3226
591	15944.97366
592	15926.07329
593	15925.40934
594	15915.07695
595	15906.22962
596	15895.83233
597	15890.37358
598	15888.54732
599	15884.55784
600	15865.14729
601	15860.75915
602	15849.43918
603	15830.69155
604	15823.80658
605	15804.33403
606	15794.66732
607	15773.76447
608	15760.71016
609	15757.00767
610	15742.74398
611	15722.41932
612	15708.44273
613	15700.81984
614	15687.11078
615	15686.39061
616	15681.28776
617	15662.24427
618	15646.84661
619	15633.3849
620	15622.16202
621	15608.36817
622	15596.9606
623	15581.70342
624	15581.05769
625	15568.53669
626	15550.25024
627	15540.41617
628	15539.84814
629	15524.19281
630	15513.55935
631	15505.8662
632	15493.48981
633	15492.07598
634	15491.53029
635	15478.92757
636	15476.64521
637	15466.33279
638	15451.02353
639	15442.38452
640	15430.62063
641	15424.90756
642	15412.86759
643	15408.54684
644	15401.87671
645	15390.61118
646	15387.583
647	15387.16427
648	15386.52011
649	15380.79555
650	15367.5578
651	15366.05975
652	15355.63458
653	15337.8009
654	15335.08893
655	15317.44542
656	15316.87427
657	15308.10223
658	15299.78155
659	15299.36382
660	15285.74878
661	15271.78008
662	15265.34035
663	15248.38984
664	15227.00164
665	15214.50312
666	15203.43845
667	15194.63559
668	15192.63179
669	15181.78776
670	15163.17403
671	15161.98968
672	15160.0895
673	15159.65605
674	15159.0697
675	15144.66776
676	15136.27313
677	15133.10163
678	15126.52015
679	15126.14795
680	15116.0911
681	15109.52877
682	15104.6277
683	15089.99789
684	15076.31634
685	15075.80613
686	15068.02857
687	15055.27875
688	15054.95891
689	15043.22855
690	15042.87631
691	15033.5747
692	15022.088
693	15009.00427
694	14998.13573
695	14983.80611
696	14971.04201
697	14962.78591
698	14954.5215
699	14933.76388
700	14926.16459
701	14919.59832
702	14903.52052
703	14901.81329
704	14900.34778
705	14894.41968
706	14894.06234
707	14884.31928
708	14877.00763
709	14869.99039
710	14865.68498
711	14859.79031
712	14858.98848
713	14849.35797
714	14833.81495
715	14817.65152
716	14812.89062
717	14810.54985
718	14804.87543
719	14798.59949
720	14797.57733
721	14795.71499
722	14795.32332
723	14776.78269
724	14751.56072
725	14741.6856
726	14731.80547
727	14719.3752
728	14715.45802
729	14711.76658
730	14690.36438
731	14684.53001
732	14683.01042
733	14682.67487
734	14680.69
735	14680.15363
736	14659.10778
737	14657.6932
738	14642.35308
739	14631.81767
740	14620.55629
741	14614.28038
742	14609.01947
743	14608.13153
744	14592.17501
745	14586.34009
746	14576.14003
747	14575.39907
748	14561.64127
749	14553.29858
750	14552.79483
751	14552.40354
752	14552.08533
753	14536.0369
754	14522.3746
755	14514.50809
756	14504.26851
757	14489.80686
758	14478.13446
759	14469.67828
760	14457.41361
761	14454.21956
762	14448.40508
763	14443.9875
764	14443.43177
765	14440.8959
766	14429.51664
767	14429.05809
768	14413.03065
769	14401.57971
770	14389.61752
771	14380.8317
772	14373.12045
773	14372.81061
774	14359.60731
775	14346.57667
776	14333.13561
777	14332.84383
778	14327.18937
779	14315.26967
780	14298.48744
781	14283.1265
782	14271.79516
783	14266.0628
784	14252.83385
785	14251.20388
786	14242.79306
787	14228.70228
788	14220.74159
789	14208.33181
790	14191.03192
791	14183.24677
792	14171.81452
793	14170.36371
794	14161.14902
795	14151.45823
796	14144.96294
797	14138.65987
798	14130.10823
799	14118.89133
800	14118.6331
801	14102.57694
802	14092.32438
803	14084.6306
804	14078.78739
805	14061.71748
806	14050.25346
807	14040.13634
808	14037.72113
809	14021.86392
810	14016.42718
811	14005.86529
812	13998.08206
813	13996.96051
814	13992.42145
815	13988.328
816	13979.08818
817	13973.80056
818	13969.35729
819	13961.54817
820	13961.25366
821	13956.10053
822	13945.74371
823	13945.47999
824	13936.50616
825	13925.62355
826	13917.77864
827	13910.23884
828	13898.0237
829	13887.55516
830	13887.22694
831	13881.1401
832	13878.74855
833	13867.24247
834	13866.98747
835	13861.3159
836	13850.91159
837	13846.23045
838	13840.81946
839	13833.96306
840	13833.71338
841	13819.90484
842	13817.53854
843	13813.14329
844	13800.66457
845	13793.06549
846	13784.04945
847	13773.21986
848	13765.79411
849	13751.24133
850	13744.96466
851	13735.66351
852	13735.03842
853	13729.37716
854	13726.55644
855	13722.82176
856	13719.53897
857	13719.10748
858	13716.47507
859	13706.35921
860	13699.24057
861	13688.9935
862	13680.01345
863	13676.0996
864	13664.81769
865	13656.26415
866	13652.14463
867	13643.72296
868	13632.54923
869	13623.19166
870	13622.18558
871	13610.6314
872	13596.99718
873	13589.99525
874	13585.03407
875	13574.56208
876	13562.39468
877	13560.43006
878	13555.10678
879	13539.62276
880	13529.76961
881	13518.04791
882	13502.86077
883	13499.64617
884	13490.25219
885	13480.69014
886	13479.27336
887	13478.99802
888	13477.78201
889	13473.34436
890	13466.19289
891	13465.79485
892	13464.61568
893	13459.45647
894	13442.94373
895	13433.73646
896	13428.73849
897	13421.90482
898	13417.65958
899	13412.86825
900	13402.41842
901	13393.18936
902	13387.37551
903	13375.6264
904	13373.59278
905	13372.14259
906	13371.78821
907	13364.48794
908	13364.24891
909	13358.65567
910	13348.85006
911	13345.02529
912	13339.56427
913	13331.09646
914	13321.26443
915	13316.52273
916	13309.33745
917	13308.74984
918	13294.82354
919	13294.32288
920	13294.08855
921	13286.47346
922	13273.96191
923	13263.41307
924	13259.08351
925	13249.35908
926	13244.44928
927	13229.76872
928	13223.3455
929	13215.47189
930	13214.98374
931	13204.9345
932	13193.60565
933	13182.37107
934	13174.33513
935	13171.99785
936	13162.95062
937	13157.82172
938	13148.61496
939	13147.54639
940	13147.27204
941	13130.1043
942	13126.44486
943	13112.30724
944	13108.88283
945	13097.35583
946	13090.63311
947	13087.3106
948	13084.34849
949	13083.82415
950	13078.42629
951	13076.13009
952	13075.78269
953	13070.3495
954	13067.80769
955	13067.2773
956	13066.57006
957	13059.8001
958	13055.54859
959	13049.60633
960	13041.93713
961	13033.72017
962	13033.36062
963	13026.66655
964	13016.33592
965	13012.8774
966	12999.33886
967	12997.22765
968	12988.74366
969	12983.58183
970	12979.09706
971	12972.23793
972	12968.2645
973	12956.07128
974	12949.86078
975	12944.59363
976	12940.7853
977	12937.25133
978	12930.38969
979	12930.0276
980	12927.16841
981	12923.84996
982	12915.65878
983	12906.20891
984	12897.47397
985	12883.70535
986	12883.49927
987	12879.54371
988	12869.40149
989	12864.93924
990	12850.39657
991	12839.15118
992	12835.72313
993	12835.4377
994	12828.05753
995	12826.22335
996	12819.27019
997	12808.10259
998	12800.80012
999	12795.94915
