iter	RMSE
0	75237.01117
1	73230.59111
2	71408.34132
3	69512.54157
4	67713.50791
5	65888.2033
6	64199.45712
7	62685.61932
8	61230.83079
9	59739.80509
10	58442.67483
11	57034.18428
12	55847.69692
13	54572.44056
14	53432.9144
15	52304.16417
16	51285.99162
17	50327.14759
18	49466.11439
19	48607.67318
20	47715.00281
21	46838.21132
22	46005.57253
23	45189.06487
24	44444.79431
25	43785.39736
26	43041.68979
27	42363.66402
28	41724.07548
29	41125.23045
30	40525.64947
31	39904.71806
32	39371.28211
33	38831.52985
34	38343.21091
35	37896.09865
36	37445.59661
37	36960.6665
38	36510.63266
39	36144.21385
40	35732.31174
41	35330.35887
42	34934.64651
43	34626.05248
44	34326.99802
45	34006.15013
46	33738.70987
47	33470.80977
48	33216.43821
49	32940.4826
50	32649.92228
51	32343.17178
52	32101.07557
53	31896.27092
54	31688.15505
55	31392.62745
56	31181.67426
57	30977.93306
58	30742.19556
59	30579.64558
60	30374.00041
61	30207.47818
62	30037.96354
63	29863.46894
64	29713.57876
65	29593.5638
66	29397.88457
67	29224.8106
68	29029.91554
69	28839.59239
70	28690.20361
71	28569.01226
72	28430.41471
73	28296.48651
74	28191.89233
75	28048.58908
76	27918.20744
77	27776.61775
78	27668.94312
79	27548.29562
80	27479.10526
81	27350.89937
82	27251.04625
83	27184.01938
84	27064.31096
85	26978.77207
86	26882.28246
87	26805.36768
88	26743.7651
89	26639.90986
90	26585.6949
91	26474.47343
92	26393.20954
93	26312.5762
94	26199.58092
95	26105.51569
96	26023.67482
97	25933.25832
98	25854.93541
99	25783.96594
100	25750.56015
101	25660.65363
102	25597.66409
103	25512.93176
104	25433.95511
105	25389.6162
106	25332.15835
107	25297.42125
108	25230.50402
109	25186.93974
110	25142.51063
111	25078.02087
112	25016.35995
113	24974.80045
114	24941.54948
115	24887.02987
116	24846.76992
117	24812.56728
118	24764.75261
119	24718.74599
120	24687.27292
121	24643.0914
122	24592.61036
123	24527.61306
124	24455.8635
125	24390.75785
126	24339.698
127	24298.78353
128	24254.18647
129	24227.38588
130	24167.42851
131	24151.22262
132	24094.46324
133	24071.36041
134	24025.27709
135	23995.23049
136	23976.84647
137	23917.16567
138	23894.26288
139	23855.76336
140	23820.42429
141	23782.91445
142	23727.39527
143	23687.14748
144	23648.91482
145	23604.09519
146	23576.19622
147	23538.02276
148	23527.65002
149	23492.67105
150	23448.12824
151	23395.3864
152	23361.7474
153	23334.19902
154	23306.7881
155	23271.43285
156	23238.80479
157	23211.37318
158	23200.57825
159	23180.52734
160	23167.86883
161	23139.57287
162	23110.65873
163	23086.32626
164	23062.99617
165	23031.54136
166	22992.61782
167	22968.03898
168	22944.5326
169	22902.01334
170	22864.34054
171	22825.76993
172	22796.05062
173	22766.3799
174	22736.2324
175	22722.17128
176	22694.86274
177	22676.7141
178	22641.38169
179	22603.2362
180	22596.53774
181	22574.78225
182	22560.58468
183	22544.51843
